ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg)
-0.4912,0.0342,1.7339,7.0801,-205.3833,-57.7393,-6.4435,-30.9814,-51.7456
-0.6055,0.0864,1.8291,2.3804,-211.4258,-66.7725,-6.3007,-32.0581,-51.9763
-0.7051,0.1821,1.8936,-8.1787,-215.21,-82.6416,-6.1469,-33.1567,-52.3004
-0.7432,0.2637,1.9004,-16.5405,-217.4072,-106.0181,-5.9711,-34.2883,-52.7399
-0.6919,0.2778,1.8813,-22.8271,-217.1631,-124.8169,-5.7458,-35.4254,-53.3112
-0.5864,0.248,1.8335,-32.3486,-216.6748,-139.5874,-5.4822,-36.5735,-54.0033
-0.3823,0.1924,1.7202,-47.5464,-216.0645,-168.5181,-5.1691,-37.7216,-54.8657
-0.1182,0.0737,1.6353,-56.3965,-217.1021,-181.1523,-4.812,-38.8751,-55.8765
0.3853,-0.1904,1.522,-64.6362,-227.8442,-170.3491,-4.4769,-40.0507,-56.8927
0.7163,-0.2993,1.4453,-61.4624,-242.4927,-150.5737,-4.1913,-41.2921,-57.8156
0.8545,-0.2783,1.418,-47.8516,-252.3193,-134.8267,-3.9056,-42.583,-58.6615
0.8315,-0.2217,1.4619,-31.7993,-255.3711,-118.8965,-3.5815,-43.8959,-59.4086
0.751,-0.1426,1.5557,-16.9678,-254.6387,-100.0366,-3.252,-45.1978,-60.0403
0.6792,-0.0654,1.6973,-3.8452,-250.2441,-85.022,-2.9004,-46.4777,-60.5951
0.5894,-0.0308,1.8472,-1.2817,-243.2251,-75.6226,-2.5378,-47.7246,-61.106
0.4683,-0.1016,1.9629,-7.2632,-235.0464,-68.1152,-2.2192,-48.9331,-61.5619
0.314,-0.2041,1.9736,-18.1885,-227.2339,-55.2368,-1.983,-50.0922,-61.9519
0.292,-0.2368,1.9316,-25.9399,-218.5669,-34.4849,-1.8842,-51.2073,-62.2321
0.2212,-0.2275,1.8472,-25.5127,-201.1719,-22.7661,-1.8842,-52.2565,-62.4133
0.083,-0.2827,1.6851,-21.7896,-182.8613,-2.6855,-1.9611,-53.2068,-62.4628
-0.1143,-0.2993,1.5117,-22.3389,-169.3115,21.6064,-2.2083,-54.0692,-62.287
-0.3794,-0.2207,1.3594,-30.0903,-155.5786,29.541,-2.5818,-54.8657,-61.9849
-0.6611,-0.0967,1.1909,-49.0723,-141.9678,11.2305,-2.9883,-55.5963,-61.7542
-0.9263,0.0396,0.9292,-76.7212,-134.1553,-42.6025,-3.23,-56.283,-61.853
-1.0103,0.104,0.6685,-93.9331,-118.103,-123.9624,-3.0597,-56.9312,-62.5891
-0.5586,0.0137,0.5391,-68.1152,-72.2656,-210.8765,-2.1313,-57.4365,-64.1821
0.4761,-0.2246,0.4629,-4.0283,-24.4141,-231.0181,-0.4614,-57.6727,-66.3629
1.4688,-0.4863,0.4038,53.3447,-15.625,-117.3096,1.0602,-57.7441,-67.9724
1.6782,-0.5898,0.4985,66.6504,-25.8179,23.0103,1.6095,-57.843,-68.2306
1.0918,-0.5723,0.7437,33.4473,-18.0664,88.3179,1.3184,-57.9694,-67.5934
0.291,-0.4697,0.855,-9.8877,4.3335,104.4312,0.5493,-58.0023,-66.665
-0.3647,-0.2339,0.7246,-35.5835,28.7476,98.999,-0.401,-57.9034,-65.6982
-0.5571,-0.1064,0.5869,-37.4146,45.2881,86.9141,-1.3239,-57.6947,-64.8248
-0.5454,-0.1177,0.5234,-37.4146,60.0586,79.1626,-2.1368,-57.4091,-64.0833
-0.4497,-0.189,0.5034,-43.1519,75.0122,78.4912,-2.9224,-57.0465,-63.4021
-0.356,-0.2017,0.4473,-47.3022,90.0879,74.9512,-3.7024,-56.6071,-62.7484
-0.3013,-0.127,0.3501,-41.0767,105.2856,59.3872,-4.3835,-56.0742,-62.1991
-0.2651,-0.0508,0.2593,-26.2451,119.2627,36.438,-4.812,-55.4919,-61.875
-0.2129,-0.0303,0.2109,-11.5356,131.3477,18.3716,-4.9988,-54.8492,-61.7706
-0.1445,-0.0464,0.2124,-2.7466,141.6016,11.8408,-5.0372,-54.1571,-61.7542
-0.0864,-0.0503,0.2378,0.6104,151.7334,11.9019,-5.0372,-53.4045,-61.7596
-0.0498,-0.0376,0.2651,1.77,162.1704,13.3057,-5.0208,-52.608,-61.7706
-0.0327,-0.0313,0.2886,2.0752,173.4009,14.7095,-5.0043,-51.7621,-61.7926
-0.0337,-0.0337,0.3052,1.8921,184.2651,15.7471,-4.9933,-50.8557,-61.7981
-0.0405,-0.0435,0.3257,1.4038,195.3125,16.1743,-4.9878,-49.8889,-61.7981
-0.0498,-0.0591,0.3467,0.1221,206.0547,16.9678,-4.9768,-48.8727,-61.8036
-0.0557,-0.0669,0.3667,-0.9766,216.8579,17.0288,-4.9713,-47.807,-61.8311
-0.0557,-0.0645,0.3828,-0.7324,227.6001,15.8081,-4.9603,-46.6864,-61.8585
-0.0366,-0.063,0.3984,0.6714,237.4878,16.2964,-4.9438,-45.5054,-61.886
-0.0122,-0.063,0.4185,2.8687,245.3613,19.5313,-4.9164,-44.2914,-61.908
-0.0005,-0.064,0.4497,4.8828,251.8921,23.7427,-4.8999,-43.0389,-61.9189
-0.0005,-0.0605,0.4897,5.9814,258.1787,27.5879,-4.8889,-41.7535,-61.8915
-0.0083,-0.0503,0.5298,6.958,264.3433,29.541,-4.8944,-40.4242,-61.853
-0.0098,-0.0371,0.5625,9.6436,270.0806,28.5034,-4.8724,-39.0729,-61.8146
0.0059,-0.0317,0.5981,12.5122,276.2451,28.2593,-4.834,-37.6996,-61.7981
0.0337,-0.0259,0.6396,14.9536,283.3862,30.2124,-4.7845,-36.2878,-61.7596
0.0503,-0.0181,0.6748,15.8081,290.7104,31.4941,-4.7406,-34.8267,-61.7212
0.062,-0.0107,0.6968,16.6016,298.8892,31.9214,-4.6802,-33.3435,-61.6772
0.0708,-0.0156,0.7158,18.9209,307.1289,32.3486,-4.6143,-31.8109,-61.6498
0.0786,-0.0269,0.7407,21.7896,314.8193,33.6304,-4.5374,-30.2454,-61.6058
0.085,-0.0391,0.7739,24.5361,320.9229,35.4614,-4.4495,-28.6304,-61.5564
0.0962,-0.0493,0.8213,26.6113,325.9277,37.7808,-4.3506,-26.9989,-61.4905
0.1074,-0.0562,0.877,27.6489,330.0171,40.1001,-4.2517,-25.3455,-61.4246
0.1108,-0.0576,0.9302,27.832,332.7637,40.2222,-4.1473,-23.6755,-61.3367
0.124,-0.0737,0.9854,28.7476,335.4492,38.8794,-4.043,-21.9836,-61.2598
0.147,-0.1104,1.0542,30.3955,340.0879,38.7573,-3.9221,-20.2808,-61.1774
0.1553,-0.1304,1.1113,30.0903,343.811,38.147,-3.7958,-18.5614,-61.1169
0.1616,-0.1279,1.1729,30.8228,348.2666,34.79,-3.6639,-16.8201,-61.0455
0.1875,-0.124,1.2393,35.3394,353.6377,29.9072,-3.5211,-15.0403,-61.0016
0.2129,-0.1177,1.3062,41.1377,356.8726,24.7192,-3.3289,-13.255,-60.9741
0.2197,-0.1055,1.3813,46.4478,358.1543,19.5923,-3.1091,-11.4642,-60.9851
0.2085,-0.0752,1.4346,52.063,357.9712,17.6392,-2.8619,-9.668,-60.9851
0.2515,-0.1265,1.5298,67.1387,362.1826,14.8926,-2.5653,-7.8552,-61.0016
0.2412,-0.1636,1.6543,73.2422,354.7363,8.606,-2.1973,-6.048,-61.0126
0.2939,-0.1641,1.8784,68.8477,365.1733,3.6621,-1.8457,-4.2517,-61.062
0.3232,-0.1357,1.9614,64.8193,365.7837,-6.3477,-1.4996,-2.4225,-61.1334
0.4292,-0.1182,2.144,51.5747,367.5537,-14.6484,-1.214,-0.5823,-61.2433
0.5728,-0.1372,2.2476,32.8979,374.3896,-15.0757,-1.0107,1.2744,-61.3586
0.7207,-0.2026,2.2686,12.146,384.8877,-1.5259,-0.9174,3.175,-61.4465
0.7495,-0.2437,2.123,21.5454,386.5356,5.4321,-0.835,5.1086,-61.463
0.7705,-0.2627,2.042,45.9595,381.6528,14.8315,-0.6592,7.0422,-61.4355
0.8262,-0.271,2.1533,57.0679,374.6948,26.6113,-0.3735,8.9319,-61.3422
0.8877,-0.2539,2.3135,46.0815,364.6851,35.7056,-0.0879,10.7776,-61.2048
0.9717,-0.2109,2.3921,30.1514,352.9053,39.0625,0.1318,12.5684,-61.0071
1.0869,-0.1924,2.3564,21.4844,339.1113,37.9028,0.2911,14.2987,-60.8038
1.1997,-0.2373,2.2896,19.104,323.3643,38.6963,0.4449,15.9467,-60.5951
1.27,-0.2607,2.1929,15.4419,304.8706,40.0391,0.5988,17.5122,-60.3918
1.3086,-0.2266,2.0508,15.5029,285.2783,35.2173,0.7416,18.9734,-60.1776
1.3223,-0.1973,1.9009,23.5596,269.104,25.2686,0.8899,20.3577,-59.9963
1.3018,-0.2471,1.7886,26.9775,257.3242,16.7236,1.0767,21.665,-59.8645
1.2329,-0.2964,1.6997,17.0898,244.6289,2.6855,1.214,22.912,-59.8096
1.3291,-0.1675,1.5684,9.5825,224.8535,-7.5684,1.2744,24.082,-59.8041
1.646,-0.0493,1.4248,6.7139,201.9653,-13.7939,1.2909,25.1422,-59.8425
1.8574,-0.1738,1.291,-5.4932,176.9409,-23.3154,1.2579,26.0815,-59.9304
2.0317,-0.4341,1.1865,-22.8882,149.9023,-14.6484,1.1316,26.889,-60.0403
2.1431,-0.5396,1.0049,-27.4048,120.6665,-1.6479,0.9943,27.5537,-60.0568
2.1113,-0.4863,0.8013,-20.9961,91.2476,-13.7329,0.8459,28.0646,-60.0897
2.0156,-0.4414,0.688,-12.8784,59.6924,-34.0576,0.7031,28.4326,-60.238
1.9346,-0.417,0.6587,-10.5591,24.231,-44.6777,0.5383,28.6304,-60.4852
1.8809,-0.3501,0.6846,-12.3291,-12.8174,-51.0864,0.3461,28.6414,-60.7599
1.8369,-0.2412,0.7524,-14.2822,-48.5229,-60.3638,0.1154,28.4656,-61.0895
1.7827,-0.1558,0.8652,-17.395,-87.8906,-70.6177,-0.1373,28.1085,-61.474
1.7344,-0.1289,0.9658,-21.6064,-118.9575,-72.4487,-0.4285,27.5757,-61.8915
1.4985,-0.2295,1.1216,-8.5449,-170.4102,-61.8286,-0.6757,26.8286,-62.276
1.0952,-0.1519,1.4092,-23.3765,-192.627,-13.4888,-0.8295,25.8783,-62.4408
0.7158,0.3242,1.3364,-22.0337,-168.2739,-1.4648,-0.9503,24.9884,-62.4573
0.4106,0.7891,1.002,-7.5684,-156.25,19.8364,-1.0107,24.1919,-62.4188
-0.1895,0.6255,1.0288,51.2085,-169.9219,140.3809,-0.6976,23.3789,-61.9519
-1.417,0.4644,1.4849,92.1021,-153.9917,283.2031,0.1978,22.5549,-60.683
-2.8413,1.0156,2.0776,36.8652,-97.9004,229.8584,1.0822,21.9287,-59.2273
-3.1675,1.3223,2.0898,-67.9321,-61.0962,26.1841,1.1646,21.5552,-58.6615
-1.9355,0.6807,1.5889,-108.3984,-61.6455,-93.6279,0.5438,21.264,-58.9801
-0.2773,-0.0708,1.2646,-54.5654,-92.3462,-62.6831,-0.0275,20.874,-59.436
1.1133,-0.4487,1.4072,7.6904,-135.5591,23.1934,-0.1154,20.2808,-59.4965
1.9805,-0.5791,1.8389,-7.1411,-183.0444,77.0874,0.0165,19.4623,-59.1998
2.0151,-0.7417,2.1704,-72.2046,-211.731,112.4878,-0.0385,18.4515,-58.6835
1.2822,-0.644,1.9248,-92.2852,-221.2524,146.1182,-0.2802,17.3474,-57.9694
0.356,0.0234,1.4907,-49.0112,-212.9517,120.1172,-0.4175,16.2653,-57.2443
-0.3535,0.7373,1.3027,10.498,-177.6733,16.2354,-0.39,15.304,-56.9421
-0.4854,0.9253,1.3721,33.3252,-148.2544,-61.0352,-0.2966,14.5074,-57.1179
-0.1812,0.7349,1.4976,19.6533,-133.5449,-62.8662,-0.2417,13.8098,-57.4695
0.1816,0.3687,1.6025,-19.7754,-133.5449,-16.3574,-0.3076,13.1451,-57.6563
0.4282,-0.0239,1.4829,-65.2466,-149.4141,44.1895,-0.5054,12.442,-57.5684
0.6084,-0.3643,1.4263,-112.793,-163.7573,92.3462,-0.9064,11.651,-57.1783
0.5596,-0.5342,1.1523,-123.7793,-170.5322,125.4272,-1.4063,10.8105,-56.5796
0.3784,-0.2739,0.7988,-95.0928,-158.5693,123.6572,-1.8347,9.9976,-55.8929
0.2803,0.0845,0.6196,-56.7017,-135.437,78.4912,-2.1039,9.2944,-55.3821
0.2988,0.1553,0.6245,-25.2686,-119.1406,33.8135,-2.2412,8.6737,-55.1129
0.3491,-0.1616,0.8096,-22.9492,-106.8115,41.0156,-2.3291,8.1189,-54.9152
0.2886,-0.4546,0.9575,-39.978,-102.2339,82.2754,-2.4445,7.6135,-54.5636
0.1572,-0.3701,0.9868,-53.772,-97.29,104.9805,-2.6257,7.1356,-54.0582
0.0635,-0.0615,0.9341,-44.5557,-82.1533,85.9375,-2.818,6.7126,-53.5529
0.0093,0.1475,0.8774,-21.8506,-69.2139,49.4995,-2.9388,6.3556,-53.2123
-0.0063,0.0854,0.916,-6.2256,-63.4155,27.4048,-2.9718,6.037,-53.02
-0.0483,-0.0859,1.0107,-6.958,-62.2559,18.0664,-2.9883,5.7294,-52.9102
-0.0796,-0.2217,1.0469,-10.6812,-57.6172,6.8359,-3.0267,5.4382,-52.8387
-0.0981,-0.269,1.0083,-7.9346,-52.063,-8.728,-3.0817,5.1581,-52.8333
-0.0801,-0.2856,0.9277,5.3101,-51.5747,-19.9585,-3.0872,4.8944,-52.8992
0.0005,-0.2515,0.9395,9.4604,-54.5654,-12.0239,-3.0487,4.6252,-52.9871
0.0615,-0.168,1.0059,3.418,-57.1289,0.6714,-3.0157,4.3451,-52.9926
0.0684,-0.0952,1.0552,-5.3711,-57.373,6.5308,-3.0322,4.0485,-52.9486
0.043,-0.083,1.0776,-12.8784,-57.1289,6.2256,-3.0762,3.7628,-52.8992
0.0044,-0.1167,1.0713,-16.7847,-56.7627,4.3945,-3.1531,3.4827,-52.8772
-0.0244,-0.1445,1.0371,-17.0898,-54.0771,6.1646,-3.2355,3.208,-52.8387
-0.0356,-0.1338,0.9932,-15.3809,-50.4761,8.606,-3.3179,2.9388,-52.7783
-0.0054,-0.1055,0.9668,-13.5498,-46.5088,9.0332,-3.3893,2.7026,-52.7179
0.0532,-0.1045,0.9575,-11.7188,-44.9219,11.5967,-3.4442,2.4829,-52.6685
0.1016,-0.1274,0.9692,-9.4604,-46.6309,17.395,-3.4937,2.2577,-52.5861
0.1045,-0.1553,1.0098,-6.0425,-48.0957,25.8179,-3.5321,2.016,-52.4542
0.062,-0.1372,1.0469,-8.3008,-49.0112,30.0293,-3.5596,1.7798,-52.2949
0.0117,-0.0918,1.0674,-13.916,-48.8281,27.0996,-3.6145,1.5491,-52.1521
-0.0098,-0.0854,1.0537,-16.2964,-47.7295,19.7144,-3.6914,1.3129,-52.0203
-0.0107,-0.1255,1.02,-14.8315,-47.2412,15.3198,-3.7738,1.0712,-51.9159
-0.0127,-0.1606,0.9912,-12.146,-48.1567,15.625,-3.8397,0.8405,-51.828
-0.022,-0.1587,0.9761,-10.2539,-49.4995,15.9302,-3.8892,0.6042,-51.7456
-0.0278,-0.1343,0.9707,-8.9111,-50.0488,13.0615,-3.9331,0.3571,-51.6577
-0.0225,-0.1206,0.9731,-7.7515,-49.6216,9.2163,-3.9825,0.1044,-51.5808
-0.0112,-0.1318,0.9834,-7.1411,-48.8892,6.3477,-4.021,-0.1318,-51.5259
0.0005,-0.1489,0.9932,-7.2632,-48.1567,4.0894,-4.054,-0.3735,-51.5039
0.0093,-0.1582,0.9951,-6.958,-47.0581,2.1973,-4.0924,-0.6097,-51.4709
0.0166,-0.1582,0.9897,-6.1035,-45.4102,1.0376,-4.1309,-0.8459,-51.4435
0.0244,-0.1475,0.9824,-5.3711,-43.5791,0.2441,-4.1583,-1.0712,-51.4215
0.0361,-0.1338,0.9775,-5.249,-42.1143,-0.8545,-4.1858,-1.2799,-51.427
0.0508,-0.1304,0.9785,-5.4932,-41.0156,-1.3428,-4.2133,-1.4886,-51.416
0.0601,-0.1318,0.9814,-5.5542,-40.1611,-1.1597,-4.2462,-1.6974,-51.405
0.0591,-0.1289,0.9814,-5.6152,-39.7339,-0.3662,-4.2737,-1.9006,-51.394
0.0518,-0.1216,0.9829,-6.2256,-39.7949,-0.1831,-4.3066,-2.0984,-51.3995
0.0469,-0.1177,0.9854,-6.897,-39.7339,-1.5259,-4.3396,-2.2961,-51.3885
0.0454,-0.1182,0.9863,-7.0801,-39.6729,-3.2959,-4.3835,-2.5049,-51.3776
0.0527,-0.1157,0.9863,-7.019,-39.7339,-3.479,-4.4165,-2.7026,-51.3831
0.062,-0.1162,0.9888,-6.958,-40.2222,-2.1973,-4.4495,-2.9004,-51.3995
0.0654,-0.1211,0.9995,-7.4463,-40.7715,-1.3428,-4.4879,-3.1036,-51.3885
0.0581,-0.1309,1.0073,-8.5449,-41.2598,-1.709,-4.5374,-3.3179,-51.3776
0.0479,-0.1372,1.0029,-9.0332,-41.5649,-2.7466,-4.5813,-3.5266,-51.3721
0.041,-0.1362,0.9922,-8.8501,-42.2974,-3.0518,-4.6198,-3.7354,-51.3885
0.0459,-0.1348,0.9844,-8.9111,-43.6401,-3.54,-4.6637,-3.9496,-51.3885
0.0552,-0.1489,0.9858,-9.0332,-45.2881,-3.8452,-4.7186,-4.1858,-51.3831
0.0508,-0.1621,0.9893,-8.728,-46.3257,-3.479,-4.7626,-4.4165,-51.3831
0.0376,-0.1553,0.9893,-7.9956,-47.1802,-4.0283,-4.801,-4.6472,-51.394
0.0347,-0.1392,0.9917,-8.1177,-48.4009,-6.1035,-4.8395,-4.8889,-51.405
0.0488,-0.1445,0.9966,-9.0332,-49.2554,-8.5449,-4.8944,-5.1471,-51.416
0.0684,-0.165,0.9985,-9.2773,-50.1099,-9.0332,-4.9384,-5.3998,-51.438
0.0845,-0.168,0.9971,-8.606,-51.2695,-7.9346,-4.9768,-5.6525,-51.4764
0.0884,-0.1523,0.9937,-8.4229,-52.8564,-7.2021,-5.0153,-5.9161,-51.4929
0.085,-0.1421,1.0034,-8.2397,-54.0771,-7.9956,-5.0647,-6.1963,-51.4984
0.0776,-0.1387,1.0137,-8.1787,-55.0537,-8.7891,-5.1031,-6.4709,-51.5204
0.0698,-0.123,1.0234,-8.1787,-56.2134,-9.5825,-5.1416,-6.7511,-51.5588
0.0723,-0.1006,1.0313,-8.9111,-57.4951,-12.207,-5.1801,-7.0422,-51.5863
0.0864,-0.1113,1.0396,-10.376,-58.96,-14.8315,-5.2295,-7.3499,-51.6248
0.1025,-0.1328,1.0444,-11.4746,-60.4248,-14.7095,-5.2789,-7.652,-51.6742
0.1123,-0.1348,1.0425,-11.7798,-62.1338,-13.916,-5.3339,-7.9651,-51.7291
0.1152,-0.1157,1.0444,-10.9863,-63.2324,-14.5264,-5.3833,-8.2837,-51.7731
0.1147,-0.0986,1.0508,-11.1084,-64.0259,-16.4185,-5.4382,-8.6188,-51.817
0.1152,-0.0996,1.0581,-12.146,-64.6973,-18.2495,-5.4877,-8.9484,-51.8719
0.1196,-0.1069,1.0591,-12.8174,-65.4297,-18.9209,-5.5371,-9.278,-51.9543
0.1279,-0.1084,1.0581,-12.8174,-66.7725,-19.165,-5.592,-9.6185,-52.0203
0.1372,-0.1045,1.0674,-12.8174,-67.9932,-19.2261,-5.6525,-9.9701,-52.0752
0.1484,-0.0938,1.0806,-13.3057,-68.8477,-19.4092,-5.7074,-10.3217,-52.1411
0.1572,-0.0884,1.0869,-14.0381,-69.7021,-20.4468,-5.7623,-10.6787,-52.2235
0.1602,-0.0854,1.0952,-15.3198,-70.4346,-21.2402,-5.8228,-11.0358,-52.2949
0.1499,-0.0527,1.1016,-19.2871,-71.228,-24.7803,-5.8997,-11.4093,-52.3663
0.1558,-0.0386,1.0942,-21.5454,-71.3501,-27.8931,-5.9875,-11.7773,-52.4652
0.1831,-0.0659,1.0654,-20.752,-72.5098,-25.6348,-6.0699,-12.1509,-52.5806
0.2085,-0.0649,1.0381,-19.8975,-74.2798,-21.9116,-6.1523,-12.5299,-52.6575
0.2246,-0.041,1.0283,-19.7144,-75.1953,-19.7754,-6.2457,-12.9199,-52.7124
0.2158,-0.0181,1.0273,-20.2026,-76.5381,-19.2261,-6.3336,-13.3099,-52.7728
0.1914,-0.0239,1.0254,-18.8599,-78.8574,-19.5313,-6.416,-13.7054,-52.8442
0.1992,-0.0498,1.0469,-18.4326,-79.1016,-16.7236,-6.4984,-14.1064,-52.8882
0.2148,-0.0742,1.0728,-20.813,-79.6509,-11.1694,-6.5973,-14.5184,-52.9047
0.2183,-0.083,1.0991,-24.6582,-80.8105,-8.3618,-6.7126,-14.9249,-52.9047
0.208,-0.0913,1.1216,-27.4658,-80.6274,-8.4229,-6.8445,-15.3259,-52.9156
0.147,-0.0967,1.1543,-32.8979,-82.2144,-14.3433,-6.9928,-15.7379,-52.9211
0.1333,-0.1748,1.2231,-40.1611,-80.5054,-15.0146,-7.1796,-16.1609,-52.9431
0.0815,-0.1245,1.1318,-42.1753,-88.4399,-16.0522,-7.3883,-16.5894,-52.9706
0.0835,-0.1606,1.0244,-20.0195,-98.0225,-13.3057,-7.5366,-17.0673,-53.0035
0.1724,-0.2783,1.042,5.8594,-104.9805,2.3193,-7.5641,-17.5781,-52.9541
0.1777,-0.2163,1.228,-2.8687,-108.2764,9.7656,-7.5861,-18.111,-52.8278
0.1299,-0.0137,1.3784,-27.832,-104.187,-6.7139,-7.7069,-18.6383,-52.7454
0.1182,-0.0239,1.2949,-28.8696,-100.647,-20.9351,-7.8552,-19.1547,-52.7783
0.1323,-0.1514,1.186,-16.1133,-103.9429,-19.8364,-7.9431,-19.671,-52.8168
0.125,-0.1851,1.1826,-12.2681,-110.3516,-12.9395,-8.02,-20.2258,-52.8113
0.1001,-0.1255,1.2109,-10.9253,-115.6616,-12.146,-8.0859,-20.7971,-52.7893
0.0928,-0.0972,1.1978,-4.1504,-120.0562,-13.2446,-8.1244,-21.3904,-52.7838
0.0908,-0.0654,1.209,-1.77,-122.9248,-19.4092,-8.1354,-22.0056,-52.7783
0.0884,-0.0366,1.2539,-3.418,-123.3521,-28.0762,-8.1464,-22.6373,-52.8113
0.1235,-0.1343,1.209,0.9155,-128.6011,-16.6626,-8.1409,-23.28,-52.8333
0.1182,-0.0952,1.21,4.0283,-135.437,-6.1646,-8.1409,-23.9447,-52.8003
0.0659,0.0459,1.2578,2.2583,-138.2446,-14.9536,-8.1464,-24.6313,-52.7454
0.0239,0.0947,1.3115,-1.5869,-138.855,-30.0903,-8.1409,-25.34,-52.7618
0.0029,0.0166,1.3164,-1.5869,-142.334,-33.5083,-8.1189,-26.0596,-52.8333
0.002,-0.0713,1.2944,5.5542,-148.8037,-25.0244,-8.0859,-26.8011,-52.8937
-0.0283,-0.0518,1.3398,9.1553,-158.6304,-18.7378,-8.0475,-27.5812,-52.8882
-0.0898,-0.0542,1.4224,10.1929,-168.9453,-17.4561,-8.02,-28.4161,-52.8442
-0.1895,-0.0049,1.543,5.4321,-174.8047,-27.1606,-7.9816,-29.2841,-52.8333
-0.314,0.043,1.6304,-1.77,-178.1616,-42.7856,-7.9431,-30.1849,-52.9211
-0.4146,0.0493,1.6567,-3.7231,-182.5562,-53.4058,-7.8882,-31.1133,-53.064
-0.48,0.0737,1.667,-1.8921,-188.2935,-61.0352,-7.8113,-32.0801,-53.2397
-0.52,0.1338,1.689,-0.7324,-194.2749,-70.7397,-7.6849,-33.0743,-53.476
-0.5488,0.2007,1.7148,-1.4648,-198.7305,-83.6792,-7.5201,-34.1016,-53.8055
-0.5615,0.2471,1.7275,-4.2114,-202.1484,-97.3511,-7.3059,-35.1563,-54.201
-0.5454,0.2549,1.7334,-8.7891,-205.0781,-109.436,-7.0642,-36.2329,-54.6735
-0.5171,0.2461,1.7124,-14.7705,-208.6182,-123.9624,-6.7841,-37.337,-55.2448
-0.4614,0.1978,1.6841,-22.4609,-208.5571,-153.9307,-6.4215,-38.4521,-55.9973
-0.2686,0.0796,1.6597,-37.2314,-207.2144,-174.0112,-5.993,-39.5728,-56.9202
0.0664,-0.0708,1.5811,-52.2461,-211.731,-179.1992,-5.5701,-40.7043,-57.9364
0.436,-0.2085,1.5059,-55.4199,-220.52,-170.8984,-5.1746,-41.8689,-58.9581
0.6924,-0.312,1.481,-51.3916,-231.0791,-158.9966,-4.7791,-43.0664,-59.9469
0.8999,-0.3135,1.5161,-48.0957,-239.7461,-140.4419,-4.411,-44.3079,-60.8423
1.0742,-0.27,1.5635,-35.5225,-243.3472,-114.8682,-4.0924,-45.5603,-61.5839
1.1641,-0.1797,1.6406,-13.7329,-241.1499,-94.7876,-3.7573,-46.8018,-62.1991
1.1699,-0.083,1.7725,2.9297,-237.7319,-79.1016,-3.3838,-48.0212,-62.7374
1.0811,-0.1694,1.9229,5.6152,-236.084,-49.6826,-3.0762,-49.2188,-63.111
0.8774,-0.3008,2.0464,-4.6997,-233.8257,-11.5356,-2.9993,-50.3998,-63.2043
0.6206,-0.1851,2.1431,-35.3394,-223.7549,-0.6714,-3.1696,-51.5424,-63.1055
0.3486,-0.1064,2.1455,-53.833,-206.7871,-2.5024,-3.4717,-52.608,-63.056
0.0933,-0.23,1.9355,-66.3452,-194.0308,14.0381,-3.9056,-53.6023,-62.8967
-0.0137,-0.4487,1.6538,-60.1196,-174.9878,49.7437,-4.5703,-54.4922,-62.4738
-0.2056,-0.4517,1.269,-32.7759,-161.5601,76.5991,-5.3723,-55.2887,-61.7542
-0.5,-0.1133,1.0571,-31.5552,-150.7568,63.1714,-6.1578,-56.0248,-60.9906
-0.8657,0.1802,0.8965,-55.2368,-138.0005,-8.9111,-6.6797,-56.7224,-60.6281
-1.0933,0.1279,0.625,-74.7681,-125.7324,-112.2437,-6.6083,-57.4091,-61.1169
-0.7993,-0.1021,0.4634,-62.9883,-98.877,-200.4395,-5.7294,-58.0518,-62.5781
0.1899,-0.2456,0.438,-17.334,-61.0962,-234.4971,-4.1364,-58.5297,-64.6875
1.3267,-0.2686,0.4819,36.1328,-41.5649,-168.8232,-2.4115,-58.8208,-66.6046
1.7285,-0.3047,0.5469,48.9502,-47.1191,-72.3267,-1.2909,-59.057,-67.6263
1.2124,-0.502,0.7568,9.8267,-32.3486,3.6621,-0.9393,-59.2603,-67.868
0.4668,-0.5405,0.7354,-19.4702,-18.6157,50.4761,-1.2689,-59.3701,-67.5549
-0.1162,-0.2949,0.6138,-25.8179,-11.3525,66.7725,-1.9336,-59.436,-66.9287
-0.4111,-0.0439,0.5527,-21.8506,3.0518,47.7295,-2.5433,-59.4305,-66.3464
-0.4609,-0.0186,0.5356,-23.2544,23.1323,24.292,-2.9224,-59.3481,-66.0333
-0.3608,-0.1387,0.4961,-31.8604,41.1377,17.6392,-3.208,-59.1724,-65.8795
-0.2017,-0.2124,0.4106,-38.269,56.6406,20.9961,-3.5266,-58.9142,-65.7202
-0.0786,-0.1748,0.2988,-35.0952,72.0825,18.3716,-3.8562,-58.5681,-65.5554
-0.0264,-0.1006,0.1904,-24.292,86.3647,7.9956,-4.054,-58.1616,-65.4895
-0.019,-0.0767,0.1255,-9.5215,96.6797,0.9766,-4.1034,-57.6947,-65.5389
-0.0391,-0.0889,0.124,1.8311,105.2856,0,-4.054,-57.1893,-65.6049
-0.0596,-0.0986,0.167,4.1504,115.1733,-0.6714,-3.9825,-56.6235,-65.6653
-0.0688,-0.0801,0.2119,2.1973,126.6479,-3.2959,-3.8892,-56.0193,-65.7642
-0.0674,-0.0488,0.2334,2.5635,138.3667,-8.1787,-3.7628,-55.3491,-65.9125
