ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg)
0.356,-0.1606,1.1914,-25.3906,-134.3994,-33.6304,0.1044,-23.9392,-62.7045
0.3745,-0.3228,1.0913,-31.9824,-129.2114,-13.1226,0.0055,-24.5984,-62.8308
0.2861,-0.4673,0.9736,-24.4141,-122.3145,16.4185,-0.1428,-25.2191,-62.7979
0.0674,-0.3721,0.9082,-21.3013,-111.4502,36.438,-0.3241,-25.8014,-62.6276
-0.229,-0.1284,0.8896,-23.0103,-92.9565,30.0903,-0.5219,-26.3013,-62.4518
-0.4951,-0.0112,0.8481,-21.7285,-72.6929,12.4512,-0.6812,-26.7023,-62.3364
-0.6455,-0.0225,0.8188,-23.6816,-54.8706,6.3477,-0.8185,-27.0044,-62.2815
-0.6826,-0.0591,0.7881,-31.4941,-39.4287,11.6577,-0.9833,-27.2351,-62.2321
-0.6626,-0.0562,0.7241,-41.748,-26.001,19.3481,-1.214,-27.3834,-62.1552
-0.6611,-0.0176,0.6367,-45.2271,-13.2446,20.4468,-1.4886,-27.4768,-62.0343
-0.6963,0.0337,0.541,-39.3066,4.8218,8.728,-1.7413,-27.4823,-61.9464
-0.6958,0.0103,0.4839,-31.7383,20.5078,-5.6763,-1.9116,-27.4109,-61.9519
-0.5776,-0.062,0.4731,-26.3062,34.3018,-9.0942,-2.027,-27.2626,-62.0288
-0.3984,-0.1221,0.5137,-24.8413,46.6309,6.6528,-2.1423,-27.0538,-62.0398
-0.3223,-0.1304,0.5752,-26.9775,58.1665,31.0059,-2.3236,-26.7737,-61.9299
-0.3975,-0.0972,0.626,-32.5317,71.6553,45.5933,-2.5708,-26.4331,-61.7157
-0.5396,-0.0723,0.6426,-38.8794,86.1206,46.3867,-2.8564,-26.0211,-61.496
-0.647,-0.0811,0.6108,-40.5884,99.1821,40.1001,-3.1476,-25.5377,-61.2872
-0.6748,-0.0908,0.5684,-36.2549,109.6191,33.0811,-3.4113,-24.9939,-61.1169
-0.6353,-0.0791,0.5522,-28.6865,118.4082,26.9775,-3.62,-24.4116,-60.9961
-0.5601,-0.0513,0.5762,-22.522,127.1973,22.3999,-3.7793,-23.7854,-60.9302
-0.4941,-0.0273,0.6191,-19.8364,136.5356,19.8975,-3.9056,-23.1152,-60.8643
-0.4521,-0.0088,0.6523,-19.5923,146.1182,18.7988,-4.0265,-22.3846,-60.8148
-0.4302,0.0049,0.6641,-19.4702,155.6396,17.7612,-4.1418,-21.6211,-60.7764
-0.4136,0.0093,0.6611,-18.0664,164.7949,16.9067,-4.2407,-20.8081,-60.7654
-0.3911,0.0063,0.6572,-15.7471,173.0957,16.7847,-4.3341,-19.9567,-60.7434
-0.3643,0.0005,0.6602,-13.0005,181.1523,17.4561,-4.411,-19.0503,-60.7269
-0.3335,-0.0015,0.6709,-9.7046,189.0869,18.0054,-4.4714,-18.1165,-60.7104
-0.3022,0.0029,0.6855,-5.7983,196.8384,17.8833,-4.5099,-17.1442,-60.7104
-0.2808,0.0146,0.71,-2.2583,203.4912,17.395,-4.5319,-16.1334,-60.705
-0.2432,0.0234,0.7422,0.6714,209.5947,17.1509,-4.5374,-15.0842,-60.6995
-0.1831,0.0122,0.7817,4.3945,215.5151,19.2261,-4.5264,-14.0131,-60.694
-0.1353,-0.0015,0.8237,9.3384,221.1304,23.6206,-4.4934,-12.9089,-60.6885
-0.1221,0.0029,0.877,15.4419,227.478,27.2827,-4.433,-11.7773,-60.65
-0.1284,0.0098,0.9263,19.4702,232.7881,27.5879,-4.3561,-10.6073,-60.6006
-0.1318,0.0059,0.9761,22.2778,237.4268,27.2827,-4.2572,-9.4208,-60.5511
-0.1221,-0.0112,1.0215,24.7803,241.1499,27.5879,-4.1418,-8.2123,-60.5237
-0.0957,-0.0332,1.0669,27.3438,244.0796,28.5645,-4.0155,-6.9928,-60.4688
-0.0679,-0.0542,1.1113,29.9683,246.2769,29.2969,-3.8837,-5.7458,-60.4083
-0.0449,-0.0688,1.1519,32.2266,247.0093,29.2969,-3.7299,-4.5044,-60.3424
-0.0293,-0.083,1.1953,34.9731,246.7651,28.5034,-3.5651,-3.2574,-60.2985
-0.0273,-0.0869,1.2417,37.9639,245.6055,25.8789,-3.3838,-2.0215,-60.238
-0.0254,-0.0815,1.2925,40.5884,243.5913,20.874,-3.186,-0.78,-60.1941
-0.0107,-0.0874,1.3447,41.9922,241.5161,15.8691,-2.9773,0.4285,-60.1721
0.002,-0.0972,1.3955,42.1753,239.2578,11.8408,-2.7631,1.6315,-60.1886
0.0293,-0.106,1.4434,41.9922,237.793,7.6294,-2.5543,2.8235,-60.1996
0.0742,-0.106,1.4829,41.1377,238.0981,2.9297,-2.3511,4.0265,-60.2271
0.127,-0.1021,1.5029,40.1611,239.4409,-2.1973,-2.1533,5.2185,-60.271
0.1968,-0.0967,1.5132,40.9546,242.9199,-8.3618,-1.9556,6.427,-60.3699
0.293,-0.1001,1.5166,43.396,246.6431,-13.0615,-1.7523,7.652,-60.4688
0.3857,-0.103,1.5132,43.335,246.46,-13.5498,-1.5546,8.8934,-60.5731
0.4766,-0.1035,1.5107,38.8794,241.8213,-10.1929,-1.3623,10.1129,-60.6665
0.5693,-0.123,1.5073,32.1655,233.3984,-3.54,-1.1975,11.2994,-60.7434
0.6606,-0.1606,1.501,24.9023,221.0083,7.7515,-1.0602,12.431,-60.7544
0.7456,-0.2021,1.4961,19.8975,206.9092,22.9492,-0.9393,13.5077,-60.6885
0.812,-0.2334,1.5015,17.6392,194.0918,37.0483,-0.8075,14.502,-60.5402
0.8594,-0.2271,1.4985,17.0898,181.9458,43.2739,-0.6702,15.4413,-60.3589
0.9014,-0.2002,1.4565,14.6484,171.6919,41.748,-0.5273,16.3257,-60.1447
0.9453,-0.1855,1.3613,10.0098,158.1421,37.4146,-0.4175,17.1552,-59.9469
1.0073,-0.2168,1.2437,7.3242,141.5405,34.6069,-0.3186,17.8967,-59.7656
1.0781,-0.2954,1.147,8.5449,123.23,38.0859,-0.2197,18.5559,-59.6008
1.0913,-0.3501,1.0889,11.9019,101.5625,42.6025,-0.0989,19.1052,-59.3866
1.0972,-0.3369,1.0801,12.7563,81.604,43.396,0.033,19.5612,-59.1559
1.1055,-0.2725,1.0742,8.1177,61.8896,36.5601,0.1593,19.9072,-58.9471
1.1318,-0.2334,1.0566,1.0376,44.3726,29.0527,0.2362,20.1654,-58.7933
1.1621,-0.2373,1.021,-2.4414,24.9634,21.8506,0.2802,20.3302,-58.6615
1.2578,-0.249,1.019,-6.958,5.7373,19.043,0.2856,20.4016,-58.5626
1.3481,-0.2676,0.998,-14.7095,-13.1836,23.3154,0.2692,20.3741,-58.4473
1.3721,-0.2817,0.957,-18.7378,-33.8135,27.1606,0.2307,20.2478,-58.3319
1.354,-0.2915,0.9434,-18.6157,-53.7109,26.001,0.1868,20.0171,-58.1891
1.3584,-0.2861,0.9707,-22.7051,-71.5332,21.2402,0.1208,19.693,-58.0682
1.3931,-0.2886,1.0034,-22.4609,-92.4072,16.7847,0.0275,19.281,-57.9749
1.3286,-0.4106,1.1938,-2.1973,-117.8589,34.3628,0.0275,18.7372,-57.865
1.0513,-0.4214,1.2935,-10.6812,-116.8213,47.7905,0.0824,18.1384,-57.6288
0.832,-0.0728,1.0991,-42.7856,-113.5254,41.5039,0,17.5726,-57.4036
0.4912,0.0977,0.8857,-28.4424,-128.479,67.688,-0.1154,16.9629,-57.1289
-0.3301,-0.1421,0.9922,20.813,-130.3711,149.6582,0.0604,16.3037,-56.5521
-1.6133,-0.0537,1.3164,32.4707,-103.8208,197.5708,0.4889,15.7159,-55.5798
-2.9717,0.7549,1.4844,-3.6011,-58.7769,96.8018,0.7581,15.3259,-54.8163
-3.5977,1.126,1.2476,-36.8042,-38.3301,-86.1816,0.6097,15.1117,-54.8877
-2.3525,0.4629,0.9346,-27.3438,-59.2651,-198.7915,0.2142,14.8755,-55.7721
-0.5396,-0.0381,1.0781,-12.2681,-76.355,-168.0908,-0.1099,14.5239,-56.7389
0.9199,-0.2476,1.3379,-17.2119,-99.8535,-109.5581,-0.3516,14.079,-57.4146
1.6992,-0.3281,1.5708,-30.8228,-134.0942,-81.1157,-0.5878,13.4747,-57.876
1.7021,-0.4102,1.668,-33.0811,-152.2827,-51.2695,-0.8295,12.7332,-58.222
1.0972,-0.3145,1.5063,-19.8975,-154.0527,-10.6201,-0.9833,11.9641,-58.3429
